AnimalID,Brand,SiteName,Month,Day,Year,Sex,AdjustedSex,Age,Mass_kg,StandardLength_cm,AxillaryGirth_cm,FlipperLength_cm,Brand_lead,date,Region
607,~300,AGATTU/GILLON POINT,6,26,2022,M,NA,P,30.5,109,75,NA,~,6/26/22,W ALEU
608,~301,AGATTU/GILLON POINT,6,26,2022,M,NA,P,28,100,79,NA,~,6/26/22,W ALEU
609,~302,AGATTU/GILLON POINT,6,26,2022,M,NA,P,41.5,112,80,NA,~,6/26/22,W ALEU
610,~303,AGATTU/GILLON POINT,6,26,2022,M,NA,P,30.5,105,73,NA,~,6/26/22,W ALEU
611,~304,AGATTU/GILLON POINT,6,26,2022,M,NA,P,43,115,81,NA,~,6/26/22,W ALEU
612,~305,AGATTU/GILLON POINT,6,26,2022,M,NA,P,36,102,82,NA,~,6/26/22,W ALEU
613,~306,AGATTU/GILLON POINT,6,26,2022,F,NA,P,30.5,98,79,NA,~,6/26/22,W ALEU
614,~307,AGATTU/GILLON POINT,6,26,2022,F,NA,P,28,103,78,NA,~,6/26/22,W ALEU
615,~308,AGATTU/GILLON POINT,6,26,2022,F,NA,P,26,93,71,NA,~,6/26/22,W ALEU
616,~309,AGATTU/GILLON POINT,6,26,2022,M,NA,P,33,107,77,NA,~,6/26/22,W ALEU
617,~310,AGATTU/GILLON POINT,6,26,2022,M,NA,P,38,111,84,NA,~,6/26/22,W ALEU
618,~311,AGATTU/GILLON POINT,6,26,2022,M,NA,P,32.5,103,76,NA,~,6/26/22,W ALEU
619,~312,AGATTU/GILLON POINT,6,26,2022,F,NA,P,31.5,109,72,NA,~,6/26/22,W ALEU
620,~313,AGATTU/GILLON POINT,6,26,2022,F,NA,P,27,94,76,NA,~,6/26/22,W ALEU
621,~314,AGATTU/GILLON POINT,6,26,2022,F,NA,P,27,101,72,NA,~,6/26/22,W ALEU
622,~315,AGATTU/GILLON POINT,6,26,2022,M,NA,P,32,100,75,NA,~,6/26/22,W ALEU
623,~316,AGATTU/GILLON POINT,6,26,2022,M,NA,P,33,103,74,NA,~,6/26/22,W ALEU
624,~317,AGATTU/GILLON POINT,6,26,2022,F,NA,P,29,100,74,NA,~,6/26/22,W ALEU
625,~318,AGATTU/GILLON POINT,6,26,2022,M,NA,P,36,113,77,NA,~,6/26/22,W ALEU
626,~319,AGATTU/GILLON POINT,6,26,2022,F,NA,P,36,105,82,NA,~,6/26/22,W ALEU
627,~320,AGATTU/GILLON POINT,6,26,2022,F,NA,P,35,111,77,NA,~,6/26/22,W ALEU
628,~321,AGATTU/GILLON POINT,6,26,2022,F,NA,P,32,104,75,NA,~,6/26/22,W ALEU
629,~322,AGATTU/GILLON POINT,6,26,2022,F,NA,P,23.5,101,68,NA,~,6/26/22,W ALEU
630,~323,AGATTU/GILLON POINT,6,26,2022,F,NA,P,29,96,76,NA,~,6/26/22,W ALEU
631,~324,AGATTU/GILLON POINT,6,26,2022,F,NA,P,29.5,108,74,NA,~,6/26/22,W ALEU
632,~325,AGATTU/GILLON POINT,6,26,2022,F,NA,P,28,108,72,NA,~,6/26/22,W ALEU
633,~326,AGATTU/GILLON POINT,6,26,2022,F,NA,P,34,104,81,NA,~,6/26/22,W ALEU
634,~327,AGATTU/GILLON POINT,6,26,2022,M,NA,P,33.5,114,75,NA,~,6/26/22,W ALEU
635,~328,AGATTU/GILLON POINT,6,26,2022,F,NA,P,33.5,102,81,NA,~,6/26/22,W ALEU
636,~329,AGATTU/GILLON POINT,6,26,2022,F,NA,P,28,105,75,NA,~,6/26/22,W ALEU
637,~330,AGATTU/GILLON POINT,6,26,2022,F,NA,P,29,104,71,NA,~,6/26/22,W ALEU
638,~331,AGATTU/GILLON POINT,6,26,2022,M,NA,P,22.5,94,67,NA,~,6/26/22,W ALEU
639,~332,AGATTU/GILLON POINT,6,26,2022,F,NA,P,30,115,69,NA,~,6/26/22,W ALEU
640,~333,AGATTU/GILLON POINT,6,26,2022,F,NA,P,38,105,79,NA,~,6/26/22,W ALEU
641,~334,AGATTU/GILLON POINT,6,26,2022,F,NA,P,31.5,109,77,NA,~,6/26/22,W ALEU
642,~335,AGATTU/GILLON POINT,6,26,2022,M,NA,P,32,102,77,NA,~,6/26/22,W ALEU
643,~336,AGATTU/GILLON POINT,6,26,2022,M,NA,P,43,119,87,NA,~,6/26/22,W ALEU
644,~337,AGATTU/GILLON POINT,6,26,2022,M,NA,P,27.5,104,72,NA,~,6/26/22,W ALEU
645,~338,AGATTU/GILLON POINT,6,26,2022,M,NA,P,41.5,112,84,NA,~,6/26/22,W ALEU
646,~339,AGATTU/GILLON POINT,6,26,2022,F,NA,P,28,109,71,NA,~,6/26/22,W ALEU
647,~340,AGATTU/GILLON POINT,6,26,2022,M,NA,P,33.5,109,81,NA,~,6/26/22,W ALEU
